14-11-24 下午7:10
项目统计

     	   片段	    词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	30350	190950	1322979	1477243	    73	
剩余：  	22656	154120	1067490	1193595	    65	
独特：  	11582	 87583	 594903	 667491	    69	
剩余独特：	 9838	 72666	 501243	 561218	    61	


单文件统计：

文件名                                	  总片段	 剩余片段	独特片段	剩余独特片段	 总计词汇	 剩余词汇	 独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
nativeBinaries.html                	  596	  493	 394	   392	 3951	 3871	 3660	  3658	   29263	    28412	    25696	      25692	   32521	    31640	    28826	      28822	
organizing_build_logic.html        	  226	  185	 157	   154	 1619	 1551	 1447	  1438	   10908	    10046	     9240	       9125	   12270	    11384	    10503	      10384	
osgi_plugin.html                   	   93	   72	  57	    57	  460	  413	  359	   359	    3423	     3000	     2579	       2579	    3759	     3313	     2873	       2873	
overview.html                      	  129	   86	 101	    85	 1218	 1011	 1159	  1010	    6645	     5267	     6105	       5261	    7723	     6185	     7156	       6179	
plugins.html                       	  121	    0	  72	     0	 1006	    0	  881	     0	    6741	        0	     5461	          0	    7582	        0	     6243	          0	
pmd_plugin.html                    	   75	   51	  29	    29	  269	  222	  151	   151	    1898	     1452	      995	        995	    2088	     1623	     1116	       1116	
potential_traps.html               	   67	   44	  38	    36	  334	  286	  267	   260	    2712	     2213	     2093	       2028	    2951	     2429	     2297	       2226	
project_reports_plugin.html        	  102	   68	  50	    48	  423	  335	  300	   296	    3386	     2678	     2386	       2303	    3698	     2943	     2629	       2546	
publishing_ivy.html                	  350	  286	 220	   220	 2122	 2074	 1952	  1952	   18759	    18154	    16353	      16353	   20438	    19820	    17957	      17957	
publishing_maven.html              	  276	  225	 119	   119	 1844	 1801	 1253	  1253	   15433	    14899	     9792	       9792	   16926	    16381	    10882	      10882	
sample_list.html                   	  141	  123	 105	   105	  920	  878	  769	   769	    5550	     5160	     4485	       4485	    6284	     5874	     5108	       5108	
scala_plugin.html                  	  254	  214	 145	   145	 1748	 1689	 1424	  1424	   11551	    10944	     9106	       9106	   12990	    12367	    10356	      10356	
signing_plugin.html                	  133	  101	  85	    85	 1028	  965	  927	   927	    7208	     6457	     6087	       6087	    8068	     7294	     6900	       6900	
sonar_plugin.html                  	  209	  169	 134	   134	 1258	 1214	 1116	  1116	    9025	     8524	     7771	       7771	   10026	     9514	     8704	       8704	
sonar_runner_plugin.html           	  224	  186	 132	   131	 1537	 1489	 1289	  1288	   10786	    10195	     8521	       8509	   12072	    11470	     9666	       9654	
standard_plugins.html              	  339	  288	 130	   129	 1181	 1082	  888	   887	    8933	     7818	     5799	       5774	    9789	     8634	     6547	       6522	
troubleshooting.html               	   47	   21	  20	    18	  313	  256	  250	   244	    1902	     1325	     1293	       1250	    2162	     1558	     1521	       1474	
tutorial_gradle_command_line.html  	  217	  179	 174	   169	 2299	 2192	 2129	  2103	   15782	    14836	    14337	      14184	   17765	    16750	    16191	      16017	
tutorial_gradle_gui.html           	   85	    1	  58	     1	  670	    2	  583	     2	    3695	       16	     2952	         16	    4275	       16	     3476	         16	
tutorial_groovy_projects.html      	   66	    4	  28	     1	  460	   14	  366	     6	    3049	      132	     2078	         34	    3427	      141	     2405	         39	
tutorial_java_projects.html        	  242	  190	 161	   160	 1921	 1826	 1791	  1789	   11637	    10600	    10209	      10183	   13309	    12225	    11816	      11789	
tutorial_this_and_that.html        	  135	    0	  89	     0	  968	    0	  855	     0	    6772	        0	     5771	          0	    7596	        0	     6526	          0	
tutorial_using_tasks.html          	  287	  221	 213	   211	 2023	 1895	 1867	  1860	   12793	    11527	    11284	      11216	   14552	    13217	    12953	      12882	
tutorials.html                     	   48	   17	  14	    14	  160	  104	   92	    92	    1366	      724	      649	        649	    1474	      811	      727	        727	
userguide.html                     	 2704	 2353	2047	  1835	 6227	 5560	 5205	  4741	   62597	    56256	    51068	      47213	   65164	    58607	    53466	      49422	
userguide_single.html              	14215	11254	1354	   940	92508	76195	 5921	  1728	  628209	   521959	    46190	      19831	  703977	   584623	    50408	      20394	
war_plugin.html                    	  122	   92	   0	     0	  594	  546	    0	     0	    4431	     3895	        0	          0	    4876	     4325	        0	          0	
web_project_tutorial.html          	   60	    4	   0	     0	  418	    9	    0	     0	    2602	       79	        0	          0	    2951	       84	        0	          0	
working_with_files.html            	  402	    0	   1	     0	 3093	    0	    2	     0	   21075	        0	       52	          0	   23606	        0	       52	          0	
wrapper_plugin.html                	   50	   28	   0	     0	  220	  165	    0	     0	    1606	     1141	        0	          0	    1772	     1278	        0	          0	
writing_build_scripts.html         	  189	   20	   0	     0	 1269	  126	    0	     0	    8568	     1329	        0	          0	    9612	     1405	        0	          0	
